groupId,artifactId,version,class,method,dereferences,checks
org.apache.lucene,lucene-analyzers-common,6,org.apache.lucene.analysis.br.BrazilianStemmer,java.lang.String stem(java.lang.String),10,10
org.apache.lucene,lucene-analyzers-common,6,org.apache.lucene.analysis.compound.hyphenation.ByteVector,byte[] getArray(),30,0
org.apache.lucene,lucene-analyzers-common,6,org.apache.lucene.analysis.compound.hyphenation.Hyphenation,int[] getHyphenationPoints(),10,0
org.apache.lucene,lucene-analyzers-common,6,org.apache.lucene.analysis.compound.hyphenation.HyphenationTree,"org.apache.lucene.analysis.compound.hyphenation.Hyphenation hyphenate(char[],int,int,int,int)",10,10
org.apache.lucene,lucene-analyzers-common,6,org.apache.lucene.analysis.core.FlattenGraphFilter$InputNode,java.util.List access$300(org.apache.lucene.analysis.core.FlattenGraphFilter$InputNode),2,0
org.apache.lucene,lucene-analyzers-common,6,org.apache.lucene.analysis.core.FlattenGraphFilter$OutputNode,java.util.List access$200(org.apache.lucene.analysis.core.FlattenGraphFilter$OutputNode),5,0
org.apache.lucene,lucene-analyzers-common,6,org.apache.lucene.analysis.de.GermanStemmer,java.lang.String stem(java.lang.String),10,10
org.apache.lucene,lucene-analyzers-common,6,org.apache.lucene.analysis.hunspell.Dictionary,"java.lang.CharSequence cleanInput(java.lang.CharSequence,java.lang.StringBuilder)",10,0
org.apache.lucene,lucene-analyzers-common,6,org.apache.lucene.analysis.hunspell.Dictionary,"org.apache.lucene.util.IntsRef lookupWord(char[],int,int)",20,20
org.apache.lucene,lucene-analyzers-common,6,org.apache.lucene.analysis.miscellaneous.StemmerOverrideFilter$StemmerOverrideMap,"org.apache.lucene.util.BytesRef get(char[],int,org.apache.lucene.util.fst.FST$Arc,org.apache.lucene.util.fst.FST$BytesReader)",10,10
org.apache.lucene,lucene-analyzers-common,6,org.apache.lucene.analysis.miscellaneous.WordDelimiterFilter,int[] access$000(org.apache.lucene.analysis.miscellaneous.WordDelimiterFilter),60,0
org.apache.lucene,lucene-analyzers-common,6,org.apache.lucene.analysis.miscellaneous.WordDelimiterFilter,int[] access$100(org.apache.lucene.analysis.miscellaneous.WordDelimiterFilter),60,0
org.apache.lucene,lucene-analyzers-common,6,org.apache.lucene.analysis.miscellaneous.WordDelimiterFilter,org.apache.lucene.analysis.tokenattributes.CharTermAttribute access$400(org.apache.lucene.analysis.miscellaneous.WordDelimiterFilter),40,0
